time,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17
150,-9,0.0416632,0.0353387,-0.0363713,-0.0589126,0.329713,-0.254664,0.0880473,-0.401244,-0.0298532,-0.0338656,-0.265417,-0.125329,0.102842,-0.21726,0.395946,0.112996
151.5,31,0.0623496,0.0479471,-0.0377637,-0.0953479,0.33783,-0.24643,0.0498168,-0.416353,-0.0365348,-0.0234065,-0.280216,-0.126709,0.111686,-0.201253,0.308179,0.138329
153,10,0.0656734,0.0700561,-0.000540809,-0.0794785,0.345896,-0.278706,0.0898392,-0.425915,-0.079657,-0.042087,-0.296157,-0.133515,0.126582,-0.147451,0.360954,0.143194
154.5,-1,0.0439858,0.106798,0.00353691,-0.09255,0.301669,-0.283734,0.0605169,-0.396186,-0.0660782,-0.0459332,-0.264121,-0.0935311,0.131581,-0.153674,0.368781,0.117427
156,31,0.0449749,0.0575175,-0.00511554,-0.0798397,0.320707,-0.271287,0.0479742,-0.389859,-0.0572875,-0.0344637,-0.261908,-0.085768,0.130824,-0.142755,0.351738,0.140409
157.5,-9,0.0385657,0.0365593,-0.000831821,-0.061778,0.316789,-0.254602,-0.00831829,-0.360205,-0.0824307,-0.0485023,-0.238743,-0.0803712,0.116271,-0.149448,0.289645,0.175212
159,37,0.0559121,0.0230776,-0.00401785,-0.0901525,0.309967,-0.27144,-0.0234975,-0.387488,-0.0436275,-0.0426698,-0.265889,-0.0937993,0.102962,-0.188512,0.262097,0.183258
160.5,35,0.0447595,0.0369121,-0.0139266,-0.100429,0.297231,-0.273539,-0.0198496,-0.351514,-0.0576632,-0.0311338,-0.250391,-0.107077,0.116418,-0.219223,0.240138,0.214539
162,42,0.0505374,0.0729916,-0.0115281,-0.111117,0.310372,-0.242791,-0.0282502,-0.346123,-0.0378642,-0.0187868,-0.231604,-0.116642,0.132943,-0.227164,0.241627,0.150728
163.5,21,0.0258448,0.0570365,-0.0174166,-0.0959745,0.289227,-0.239921,-0.0280216,-0.346819,-0.049046,-0.0402868,-0.228609,-0.147908,0.139407,-0.290228,0.225965,0.139471
