time,value3,value1,value2
769.5,-90,0.0536171,-4.34459
771,-12,0.183192,-4.44098
772.5,-43,0.13125,-4.44098
774,-15,0.105838,-4.47478
775.5,-81,0.229269,-4.43576
777,3,0.216982,-4.41386
778.5,-73,0.271995,-4.40384
780,-31,0.234854,-4.46331
781.5,-86,0.0508245,-4.36232
783,15,0.223404,-4.44119
784.5,30,0.158059,-4.43201
786,-90,0.23262,-4.38819
787.5,-50,-0.0223404,-4.46748
789,-70,0.0195479,-4.40802
790.5,-15,0.0547341,-4.45371
792,-28,0.20637,-4.32059
793.5,9,0.135718,-4.42241
795,-55,0.139348,-4.48417
796.5,-26,0.22871,-4.37129
798,-109,0.0731649,-4.41156
799.5,58,0.107793,-4.50274
801,-66,0.256357,-4.41803
802.5,-22,0.0999735,-4.49481
804,-55,0.0527793,-4.43368
805.5,-14,0.119521,-4.49565
807,-20,0.147447,-4.46831
808.5,8,0.103883,-4.44766
810,6,0.0929921,-4.44807
811.5,7,0.144096,-4.41156
813,-44,0.274229,-4.39258
814.5,-101,0.171184,-4.38381
816,116,0.219774,-4.46018
817.5,-100,0.124548,-4.45433
819,8,0.186263,-4.45392
820.5,-28,0.234016,-4.34459
822,17,0.196037,-4.43097
823.5,-57,0.174814,-4.32101
825,40,0.147168,-4.4172
826.5,-63,-0.00698139,-4.49335
828,-4,0.0114495,-4.43743
829.5,-6,0.19129,-4.51901
831,51,0.0201064,-4.43117
832.5,-40,0.0569681,-4.4679
834,-51,0.174255,-4.46602
835.5,-66,-0.0293218,-4.46957
837,-3,0.125106,-4.45141
838.5,13,0.149122,-4.43639
840,-66,-0.0675798,-4.50295
841.5,-53,0.0960639,-4.39571
843,-13,0.155266,-4.4608
844.5,22,0.117846,-4.43973
846,-81,0.192128,-4.50545
847.5,-41,0.0703724,-4.50107
849,-34,0.049149,-4.40301
850.5,16,0.104442,-4.42658
852,-90,0.0809841,-4.37755
853.5,27,0.214747,-4.45079
855,-77,0.0773538,-4.52924
856.5,-23,-0.0293218,-4.50065
858,-82,0.0600399,-4.50086
859.5,6,0.182633,-4.43994
861,-38,0.0335107,-4.36086
862.5,-39,0.105279,-4.43994
864,-31,0.0977394,-4.40718
865.5,-26,0.123989,-4.47854
867,-28,0.0921543,-4.45767
868.5,-27,0.152474,-4.44411
870,-7,0.0444016,-4.43222
871.5,-9,0.202739,-4.48041
873,18,0.21754,-4.44682
874.5,-84,0.0974602,-4.32226
876,18,0.178165,-4.45872
877.5,-27,0.158896,-4.35439
879,16,0.227593,-4.38799
880.5,-48,0.101649,-4.42867
882,-5,0.0854522,-4.35836
883.5,-56,0.0575266,-4.34229
885,44,0.227593,-4.46936
886.5,-48,0.203298,-4.44056
888,5,0.237646,-4.45433
889.5,-50,0.191849,-4.36503
891,-4,0.235133,-4.41031
892.5,-9,0.108072,-4.36691
894,-98,0.141024,-4.45371
895.5,-8,0.152194,-4.44161
897,-18,0.122872,-4.42304
898.5,5,0.133205,-4.42825
900,-77,0.14633,-4.4873
901.5,-5,0.119801,-4.4873
903,-67,0.203019,-4.50316
904.5,26,0.206649,-4.52903
906,-62,0.166436,-4.49731
907.5,-16,0.147726,-4.41532
909,-65,0.0460772,-4.39424
910.5,-14,0.202739,-4.44036
912,-57,0.107234,-4.43201
913.5,-6,0.204415,-4.509
915,-82,0.185705,-4.37004
916.5,-48,-0.00893618,-4.43117
918,-69,0.128178,-4.41594
919.5,-16,0.140186,-4.37881
921,-52,0.179561,-4.44098
922.5,-32,0.110864,-4.42262
924,-29,0.10137,-4.49502
925.5,57,0.0784708,-4.43493
927,-59,0.0569681,-4.398
928.5,-103,0.167833,-4.3932
930,4,0.289309,-4.48021
931.5,11,0.216423,-4.36274
933,-5,0.212234,-4.36003
934.5,-85,0.106676,-4.39946
936,-26,0.267806,-4.43806
937.5,-46,0.203019,-4.34855
939,-6,0.261942,-4.35919
940.5,-22,0.294615,-4.35043
942,-4,0.189335,-4.47395
943.5,-64,0.199109,-4.42387
945,34,0.0946676,-4.45788
946.5,-29,0.0809841,-4.45684
948,-8,0.237088,-4.427
949.5,-37,0.19883,-4.43994
951,11,0.28512,-4.44036
952.5,-47,0.176769,-4.44369
954,-34,0.123152,-4.41532
955.5,24,0.164481,-4.52235
957,-45,0.159176,-4.44933
958.5,-6,0.226755,-4.40009
960,-67,0.0963431,-4.33478
961.5,-26,0.246583,-4.42095
963,-45,0.146888,-4.39028
964.5,31,0.18012,-4.4124
966,-55,0.280931,-4.40134
967.5,-70,0.249096,-4.30787
969,27,0.147168,-4.42533
970.5,-32,0.33762,-4.35272
972,-127,0.181237,-4.39007
973.5,12,0.206649,-4.42909
975,-90,0.207766,-4.46414
976.5,19,0.229827,-4.34855
978,-24,0.329521,-4.46664
979.5,-70,0.184588,-4.44724
981,-14,0.0809841,-4.44807
982.5,-35,0.135439,-4.50837
984,15,0.324216,-4.46977
985.5,-76,0.22871,-4.42554
987,-30,0.244907,-4.4848
988.5,-51,0.19129,-4.41574
990,-28,0.199109,-4.52757
991.5,-8,0.20246,-4.40948
993,34,0.284282,-4.38423
994.5,106,0.280931,-4.52736
996,-284,0.12371,-4.41949
997.5,226,0.129575,-4.4222
999,189,0.171184,-4.50357
1000.5,1,0.193524,-4.39821
1002,-106,0.114216,-4.47311
1003.5,-65,0.205253,-4.43848
1005,-19,0.298803,-4.50211
1006.5,-50,0.12371,-4.39863
1008,28,0.115333,-4.37275
1009.5,17,0.199388,-4.31183
1011,34,0.119521,-4.41824
1012.5,-78,0.0773538,-4.40635
1014,-54,0.249096,-4.40906
1015.5,12,0.364149,-4.3715
1017,-5,0.115333,-4.49669
1018.5,-20,0.0832181,-4.47228
1020,-28,0.153311,-4.4293
1021.5,-58,0.122872,-4.44098
1023,-37,0.197992,-4.44161
1024.5,6,0.153032,-4.39132
1026,-20,0.243232,-4.40864
1027.5,-14,0.117567,-4.37442
1029,-7,0.0282048,-4.43785
1030.5,-7,0.155545,-4.37067
1032,49,0.148005,-4.40593
1033.5,269,0.129575,-4.44828
1035,-630,0.334827,-4.51046
1036.5,-238,0.215027,-4.44828
1038,338,0.21,-4.42742
1039.5,-4,0.139907,-4.39988
1041,-157,0.131809,-4.4462
