time,value4,value1,value2,value3
505.5,50,-0.00436521,-0.0105996,0.0572595
507,-12,-0.0138269,-0.0147617,0.0651281
508.5,-27,-0.013621,-0.0134465,0.0729518
510,-85,0.00243205,-0.023207,0.0711144
511.5,-9,0.00827204,-0.0214591,0.0753432
513,20,0.000580995,-0.021203,0.0787263
514.5,17,-0.00784161,-0.0305163,0.080842
516,15,-0.0013474,-0.0382715,0.0644304
517.5,-100,-0.00909457,-0.0424198,0.0642972
519,-42,-0.00896591,-0.0431114,0.0655458
520.5,24,-0.00818689,-0.047015,0.0652938
522,-1,-0.016353,-0.0569911,0.061513
523.5,-5,-0.0241415,-0.0629159,0.0659247
525,-33,-0.0274747,-0.0616023,0.0553112
526.5,-19,-0.0260847,-0.0669857,0.0542219
528,-49,-0.039364,-0.0737671,0.0627675
529.5,44,-0.0419225,-0.0561963,0.0690479
531,36,-0.0367737,-0.0584348,0.0628484
532.5,-39,-0.0274389,-0.05836,0.0616416
534,-4,-0.0254765,-0.0702931,0.0610237
535.5,13,-0.0231339,-0.0707783,0.0528151
537,-49,-0.0195213,-0.0701004,0.0519471
538.5,-4,-0.0382665,-0.068454,0.0550403
540,38,-0.0341386,-0.0532403,0.0581056
541.5,-66,-0.0399637,-0.0476559,0.0705308
543,-8,-0.0439476,-0.051374,0.0690038
544.5,0,-0.0479558,-0.0585746,0.0518671
546,-20,-0.0635253,-0.0729776,0.0624126
547.5,9,-0.0621208,-0.0775327,0.0560806
549,9,-0.0554435,-0.0772933,0.0655402
550.5,-62,-0.0515022,-0.0763784,0.0640036
552,-6,-0.0414432,-0.0702021,0.0575967
553.5,5,-0.0586533,-0.0658322,0.0631738
555,-68,-0.0359601,-0.0587955,0.0622147
556.5,59,-0.0561503,-0.0484451,0.0579378
558,-3,-0.0673765,-0.0425253,0.0488174
559.5,-63,-0.0738462,-0.0530947,0.0510423
561,47,-0.0499979,-0.0451408,0.0502509
562.5,-48,-0.0551623,-0.0552633,0.064803
564,-47,-0.0586178,-0.0556705,0.0516339
565.5,35,-0.0661149,-0.0531789,0.0621913
567,24,-0.0727404,-0.0670239,0.0513862
568.5,-85,-0.0722456,-0.0675538,0.0415955
570,-30,-0.0542711,-0.0742977,0.0423806
571.5,27,-0.0501779,-0.0723068,0.0304296
573,8,-0.0630332,-0.0641655,0.0417529
574.5,-16,-0.0453558,-0.0735669,0.0344101
576,-30,-0.0315519,-0.0785371,0.0424701
577.5,-13,-0.0284772,-0.073452,0.0368603
579,-23,-0.0327301,-0.0759705,0.0306697
580.5,5,-0.0356978,-0.0800031,0.0232848
582,-22,-0.037251,-0.0848283,0.0308247
583.5,-8,-0.0301872,-0.0844243,0.044571
585,-17,-0.0282546,-0.0815502,0.0413556
586.5,-2,-0.0213964,-0.0874366,0.0442737
588,62,-0.0378348,-0.0881861,0.0419517
589.5,-29,-0.0544627,-0.0787726,0.0414147
591,-33,-0.0503312,-0.0717748,0.0385873
592.5,69,-0.03022,-0.0620647,0.0561671
594,-118,-0.0255282,-0.0665942,0.0656789
595.5,-3,-0.0290187,-0.0634788,0.054211
597,71,-0.0236013,-0.0531436,0.0464268
598.5,-94,-0.0243382,-0.0502817,0.058234
600,1,-0.0146895,-0.0462789,0.0559
601.5,21,-0.0148907,-0.0401451,0.0658474
603,-12,-0.0206053,-0.0414439,0.0702261
604.5,-50,-0.0239214,-0.0401224,0.0601076
606,-10,-0.0108307,-0.0563884,0.0607694
607.5,-7,-0.0221866,-0.0572178,0.0610904
609,-2,-0.0234962,-0.057653,0.071355
610.5,-31,-0.0218877,-0.062151,0.0658407
612,0,-0.0207458,-0.0595816,0.0673367
613.5,-19,-0.0204601,-0.0619426,0.058213
615,-2,-0.0202798,-0.0533994,0.06808
616.5,-22,-0.0366518,-0.05654,0.0662092
